Retired point with ll = -1.0610566063710243e8; accept = 0.109375; next nmcmc = 128
Retired point with ll = -1.0572290022536755e8; accept = 0.15625; next nmcmc = 128
Retired point with ll = -1.014377579257437e8; accept = 0.171875; next nmcmc = 128
Retired point with ll = -9.195820074703732e7; accept = 0.21875; next nmcmc = 128
Retired point with ll = -9.183448105622737e7; accept = 0.171875; next nmcmc = 128
Retired point with ll = -8.921153919507384e7; accept = 0.15625; next nmcmc = 128
Retired point with ll = -8.272858482817832e7; accept = 0.203125; next nmcmc = 128
Retired point with ll = -8.268340652447619e7; accept = 0.0625; next nmcmc = 128
Retired point with ll = -8.234401869827098e7; accept = 0.1015625; next nmcmc = 128
Retired point with ll = -8.06833870241682e7; accept = 0.1640625; next nmcmc = 128
Retired point with ll = -7.936744044737773e7; accept = 0.0859375; next nmcmc = 128
Retired point with ll = -7.930113065184847e7; accept = 0.125; next nmcmc = 129
Retired point with ll = -7.515143961127694e7; accept = 0.17829457364341086; next nmcmc = 128
Retired point with ll = -7.485803175317359e7; accept = 0.2109375; next nmcmc = 128
Retired point with ll = -7.40283893528421e7; accept = 0.1875; next nmcmc = 128
Retired point with ll = -7.294523795129222e7; accept = 0.1953125; next nmcmc = 128
Retired point with ll = -7.230114679660347e7; accept = 0.1640625; next nmcmc = 128
Retired point with ll = -7.221928385948682e7; accept = 0.1953125; next nmcmc = 128
Retired point with ll = -7.217098050637063e7; accept = 0.1875; next nmcmc = 128
Retired point with ll = -7.166903295857494e7; accept = 0.171875; next nmcmc = 128
Retired point with ll = -6.70161177912783e7; accept = 0.0703125; next nmcmc = 128
Retired point with ll = -6.259829372803806e7; accept = 0.25; next nmcmc = 128
Retired point with ll = -6.2147662814550936e7; accept = 0.1015625; next nmcmc = 128
Retired point with ll = -6.026345858897774e7; accept = 0.09375; next nmcmc = 128
Retired point with ll = -5.90871792360993e7; accept = 0.109375; next nmcmc = 129
Retired point with ll = -5.6032315824729204e7; accept = 0.09302325581395349; next nmcmc = 129
Retired point with ll = -5.415306550068332e7; accept = 0.17829457364341086; next nmcmc = 129
Retired point with ll = -5.249193207213667e7; accept = 0.08527131782945736; next nmcmc = 129
Retired point with ll = -5.228603995254173e7; accept = 0.20930232558139536; next nmcmc = 129
Retired point with ll = -4.977348874649594e7; accept = 0.031007751937984496; next nmcmc = 129
Retired point with ll = -4.800271559557637e7; accept = 0.10852713178294573; next nmcmc = 129
Retired point with ll = -4.647574349989943e7; accept = 0.20155038759689922; next nmcmc = 129
Retired point with ll = -4.4937276581090756e7; accept = 0.1937984496124031; next nmcmc = 129
Retired point with ll = -4.44982824987244e7; accept = 0.20155038759689922; next nmcmc = 129
Retired point with ll = -4.200100306624793e7; accept = 0.12403100775193798; next nmcmc = 129
Retired point with ll = -4.107713726933193e7; accept = 0.12403100775193798; next nmcmc = 129
Retired point with ll = -4.042249075652247e7; accept = 0.20155038759689922; next nmcmc = 129
Retired point with ll = -4.0311793118223876e7; accept = 0.14728682170542637; next nmcmc = 129
Retired point with ll = -4.024822566368603e7; accept = 0.11627906976744186; next nmcmc = 129
Retired point with ll = -4.003578451242783e7; accept = 0.13178294573643412; next nmcmc = 129
Retired point with ll = -3.950153629661186e7; accept = 0.24031007751937986; next nmcmc = 129
Retired point with ll = -3.844062538965343e7; accept = 0.16279069767441862; next nmcmc = 129
Retired point with ll = -3.8419002999724574e7; accept = 0.15503875968992248; next nmcmc = 129
Retired point with ll = -3.697817330689913e7; accept = 0.10852713178294573; next nmcmc = 129
Retired point with ll = -3.637602173232147e7; accept = 0.21705426356589147; next nmcmc = 129
Retired point with ll = -3.516338342474508e7; accept = 0.17829457364341086; next nmcmc = 129
Retired point with ll = -3.425431352166913e7; accept = 0.20155038759689922; next nmcmc = 129
Retired point with ll = -3.198402419132849e7; accept = 0.13178294573643412; next nmcmc = 129
Retired point with ll = -3.1240824639466718e7; accept = 0.21705426356589147; next nmcmc = 129
Retired point with ll = -3.1154561523321442e7; accept = 0.15503875968992248; next nmcmc = 129
Retired point with ll = -3.0362857364778783e7; accept = 0.1937984496124031; next nmcmc = 129
Retired point with ll = -2.9708218082709294e7; accept = 0.2713178294573643; next nmcmc = 129
Retired point with ll = -2.9510964804205455e7; accept = 0.10077519379844961; next nmcmc = 129
Retired point with ll = -2.883567197877507e7; accept = 0.12403100775193798; next nmcmc = 129
Retired point with ll = -2.871384217408944e7; accept = 0.10077519379844961; next nmcmc = 129
Retired point with ll = -2.849208604175525e7; accept = 0.046511627906976744; next nmcmc = 129
Retired point with ll = -2.8388703439615466e7; accept = 0.10077519379844961; next nmcmc = 129
Retired point with ll = -2.7013371231792327e7; accept = 0.20930232558139536; next nmcmc = 129
Retired point with ll = -2.6992955795360427e7; accept = 0.21705426356589147; next nmcmc = 129
Retired point with ll = -2.6931737090182737e7; accept = 0.046511627906976744; next nmcmc = 129
Retired point with ll = -2.6782926132437136e7; accept = 0.12403100775193798; next nmcmc = 130
Retired point with ll = -2.5606765274309687e7; accept = 0.06153846153846154; next nmcmc = 130
Retired point with ll = -2.5425813290243693e7; accept = 0.23846153846153847; next nmcmc = 130
Retired point with ll = -2.539488891462082e7; accept = 0.16923076923076924; next nmcmc = 130
Retired point with ll = -2.5277614463394854e7; accept = 0.23846153846153847; next nmcmc = 130
Retired point with ll = -2.508310148981504e7; accept = 0.16153846153846155; next nmcmc = 130
Retired point with ll = -2.4680137267798256e7; accept = 0.15384615384615385; next nmcmc = 130
Retired point with ll = -2.4320146890643954e7; accept = 0.19230769230769232; next nmcmc = 129
Retired point with ll = -2.4011309913527954e7; accept = 0.3178294573643411; next nmcmc = 129
Retired point with ll = -2.3765690495159727e7; accept = 0.17054263565891473; next nmcmc = 129
Retired point with ll = -2.3667645930900406e7; accept = 0.09302325581395349; next nmcmc = 129
Retired point with ll = -2.3436388056533873e7; accept = 0.10077519379844961; next nmcmc = 130
Retired point with ll = -2.318083019544106e7; accept = 0.25384615384615383; next nmcmc = 129
Retired point with ll = -2.235428216450175e7; accept = 0.16279069767441862; next nmcmc = 129
Retired point with ll = -2.194000935628122e7; accept = 0.1937984496124031; next nmcmc = 129
Retired point with ll = -2.1841311238947745e7; accept = 0.17054263565891473; next nmcmc = 129
Retired point with ll = -2.1036627573515482e7; accept = 0.15503875968992248; next nmcmc = 129
Retired point with ll = -2.0721567611249305e7; accept = 0.16279069767441862; next nmcmc = 129
Retired point with ll = -2.0292211427634425e7; accept = 0.20930232558139536; next nmcmc = 129
Retired point with ll = -1.9861720059627846e7; accept = 0.13178294573643412; next nmcmc = 129
Retired point with ll = -1.9798858431020148e7; accept = 0.09302325581395349; next nmcmc = 129
Retired point with ll = -1.972262072600955e7; accept = 0.17829457364341086; next nmcmc = 129
Retired point with ll = -1.9597714894269332e7; accept = 0.1937984496124031; next nmcmc = 129
Retired point with ll = -1.9511021728829145e7; accept = 0.06201550387596899; next nmcmc = 130
Retired point with ll = -1.8348000984430578e7; accept = 0.2; next nmcmc = 129
Retired point with ll = -1.802328933180674e7; accept = 0.17829457364341086; next nmcmc = 129
Retired point with ll = -1.6819395809635904e7; accept = 0.07751937984496124; next nmcmc = 130
Retired point with ll = -1.6596950411936335e7; accept = 0.07692307692307693; next nmcmc = 130
Retired point with ll = -1.6514243875242405e7; accept = 0.23076923076923078; next nmcmc = 130
Retired point with ll = -1.6471710623849181e7; accept = 0.16153846153846155; next nmcmc = 130
Retired point with ll = -1.6137960972241232e7; accept = 0.1076923076923077; next nmcmc = 130
Retired point with ll = -1.5782059715526985e7; accept = 0.11538461538461539; next nmcmc = 130
Retired point with ll = -1.5759355735218529e7; accept = 0.16153846153846155; next nmcmc = 130
Retired point with ll = -1.5713839135651102e7; accept = 0.17692307692307693; next nmcmc = 130
Retired point with ll = -1.5566351932497118e7; accept = 0.12307692307692308; next nmcmc = 130
Retired point with ll = -1.5558000556874992e7; accept = 0.13076923076923078; next nmcmc = 130
Retired point with ll = -1.4779132470645193e7; accept = 0.12307692307692308; next nmcmc = 130
Retired point with ll = -1.4648878853914661e7; accept = 0.1076923076923077; next nmcmc = 130
Retired point with ll = -1.4433652567728773e7; accept = 0.16153846153846155; next nmcmc = 130
Retired point with ll = -1.3981076516021386e7; accept = 0.14615384615384616; next nmcmc = 130
Retired point with ll = -1.353427775395503e7; accept = 0.26153846153846155; next nmcmc = 130
Retired point with ll = -1.334898941591934e7; accept = 0.2230769230769231; next nmcmc = 130
Retired point with ll = -1.3155447753010765e7; accept = 0.06923076923076923; next nmcmc = 130
Retired point with ll = -1.301388767025144e7; accept = 0.12307692307692308; next nmcmc = 130
Retired point with ll = -1.2708125966008091e7; accept = 0.23076923076923078; next nmcmc = 130
Retired point with ll = -1.226147809366975e7; accept = 0.17692307692307693; next nmcmc = 130
Retired point with ll = -1.222643319205307e7; accept = 0.2230769230769231; next nmcmc = 130
Retired point with ll = -1.2223087559828985e7; accept = 0.09230769230769231; next nmcmc = 130
Retired point with ll = -1.2080221610067751e7; accept = 0.17692307692307693; next nmcmc = 130
Retired point with ll = -1.1728911358786413e7; accept = 0.24615384615384617; next nmcmc = 130
Retired point with ll = -1.1568232359033868e7; accept = 0.18461538461538463; next nmcmc = 130
Retired point with ll = -1.1415839579798086e7; accept = 0.06153846153846154; next nmcmc = 130
Retired point with ll = -1.1214347814497747e7; accept = 0.1076923076923077; next nmcmc = 130
Retired point with ll = -1.1081854652420936e7; accept = 0.18461538461538463; next nmcmc = 130
Retired point with ll = -1.1049594557050169e7; accept = 0.2230769230769231; next nmcmc = 130
Retired point with ll = -1.1044349544471893e7; accept = 0.06153846153846154; next nmcmc = 130
Retired point with ll = -1.0985421475960456e7; accept = 0.11538461538461539; next nmcmc = 130
Retired point with ll = -1.0825742146581404e7; accept = 0.08461538461538462; next nmcmc = 130
Retired point with ll = -1.0714151646874169e7; accept = 0.16153846153846155; next nmcmc = 130
Retired point with ll = -1.0563902598901406e7; accept = 0.17692307692307693; next nmcmc = 130
Retired point with ll = -1.0394360912054336e7; accept = 0.2153846153846154; next nmcmc = 130
